ct_shortname,bd_feb15avgdif_date,bd_feb15avgdif_holi,bd_feb29avgdif_date,bd_feb29avgdif_holi
济南,4.485269565217392,4.743230434782609,1.5930783783783786,1.7534324324324322
滨州,5.565608695652174,5.641926086956524,2.1717351351351355,2.2191756756756766
东营,4.45523043478261,4.6564956521739145,1.0591675675675676,1.1842783783783783
德州,5.694904347826084,5.601108695652176,2.320683783783781,2.2623783783783784
菏泽,5.5652956521739165,5.255304347826089,2.308351351351353,2.115654054054055
济宁,5.657269565217389,5.580573913043479,2.5298432432432425,2.482167567567569
聊城,5.55985652173913,5.505456521739129,2.2300405405405415,2.1962243243243234
临沂,5.3712608695652175,5.463917391304346,2.2187648648648644,2.27636216216216
青岛,4.798334782608696,5.152339130434779,1.7400459459459463,1.960102702702701
日照,4.472769565217391,4.629104347826084,1.4592081081081076,1.5563891891891881
泰安,5.369326086956523,5.349721739130434,2.4459864864864866,2.4338
威海,4.6912913043478275,5.000295652173912,1.7280513513513518,1.920135135135134
潍坊,5.158726086956522,5.368143478260867,2.134094594594595,2.2642729729729716
烟台,4.907291304347826,5.172060869565216,1.9672081081081076,2.131794594594594
枣庄,5.673760869565218,5.582665217391305,2.3964513513513506,2.339824324324325
淄博,5.121595652173913,5.310273913043478,1.9656621621621624,2.082948648648649
太原,4.511204347826087,4.8374000000000015,2.072843243243243,2.2756135135135143
长治,4.881317391304348,4.910265217391306,1.9449486486486482,1.9629432432432439
大同,4.150217391304347,4.158447826086956,1.4205378378378368,1.4256540540540534
晋城,5.549365217391307,5.609765217391304,2.6515324324324325,2.689078378378378
晋中,4.779295652173913,4.937273913043476,2.0351729729729735,2.1333756756756745
临汾,5.190430434782607,5.156639130434783,2.0099567567567567,1.9889513513513508
吕梁,4.935091304347825,4.916943478260869,1.9411702702702684,1.9298891891891876
朔州,4.497421739130433,4.449221739130436,1.6093081081081078,1.5793459459459473
忻州,4.56038260869565,4.537226086956523,1.7300675675675663,1.7156729729729738
阳泉,4.8065739130434775,4.8580130434782625,1.8253486486486472,1.8573243243243245
运城,5.765839130434781,5.544086956521738,2.432889189189188,2.295043243243243
