ct_shortname,prov,Date,value
鹰潭,江西省,1,1.3321999999999998
长春,吉林省,1,1.9770999999999996
白城,吉林省,1,0.3727999999999998
白山,吉林省,1,0.19099999999999984
吉林,吉林省,1,0.8523000000000001
辽源,吉林省,1,0.49990000000000023
四平,吉林省,1,0.6722999999999999
松原,吉林省,1,0.7183999999999999
通化,吉林省,1,0.8614999999999999
延边,,1,0.9513999999999996
沈阳,辽宁省,1,2.1401
鞍山,辽宁省,1,0.45449999999999946
本溪,辽宁省,1,0.9767000000000001
朝阳,辽宁省,1,0.7923
大连,辽宁省,1,1.9021
丹东,辽宁省,1,0.6398999999999999
抚顺,辽宁省,1,0.4562000000000008
阜新,辽宁省,1,-0.03200000000000003
葫芦岛,辽宁省,1,0.8815
锦州,辽宁省,1,0.4394
辽阳,辽宁省,1,0.15979999999999972
盘锦,辽宁省,1,0.7895000000000003
铁岭,辽宁省,1,0.25839999999999996
营口,辽宁省,1,0.8821999999999992
银川,宁夏回族自治区,1,1.6679000000000004
固原,宁夏回族自治区,1,0.8096000000000005
石嘴山,宁夏回族自治区,1,0.022999999999999687
吴忠,宁夏回族自治区,1,0.01810000000000045
中卫,宁夏回族自治区,1,0.5318000000000005
呼和浩特,内蒙古自治区,1,1.7749000000000001
阿拉善盟,内蒙古自治区,1,0.9481999999999999
包头,内蒙古自治区,1,0.7381000000000002
巴彦淖尔,内蒙古自治区,1,-0.17899999999999938
赤峰,内蒙古自治区,1,1.0932999999999997
鄂尔多斯,内蒙古自治区,1,1.3218999999999994
呼伦贝尔,内蒙古自治区,1,0.39730000000000043
通辽,内蒙古自治区,1,0.5167999999999999
乌海,内蒙古自治区,1,0.6305999999999994
乌兰察布,内蒙古自治区,1,-0.34640000000000004
锡林郭勒盟,内蒙古自治区,1,0.6299000000000001
兴安盟,内蒙古自治区,1,0.5669000000000004
西宁,青海省,1,1.0496999999999996
果洛州,,1,0.7932000000000001
海东,青海省,1,-0.33279999999999976
海北州,,1,0.1836000000000002
海南州,,1,0.2860999999999998
海西州,,1,1.0270000000000001
黄南州,,1,0.4335
玉树州,,1,0.7927
济南,山东省,1,2.0568000000000004
滨州,山东省,1,1.4561000000000002
东营,山东省,1,1.3764000000000003
德州,山东省,1,1.4232
菏泽,山东省,1,0.9826999999999999
济宁,山东省,1,1.6639999999999997
聊城,山东省,1,1.1787
临沂,山东省,1,1.6206999999999998
青岛,山东省,1,2.8449999999999998
日照,山东省,1,1.4844999999999997
泰安,山东省,1,1.4183999999999997
威海,山东省,1,1.9264999999999999
潍坊,山东省,1,1.7195
烟台,山东省,1,1.8350999999999997
枣庄,山东省,1,1.1750999999999996
淄博,山东省,1,1.5150000000000006
太原,山西省,1,2.2398999999999996
长治,山西省,1,1.4348
大同,山西省,1,0.9552999999999998
晋城,山西省,1,1.5393999999999997
晋中,山西省,1,1.3286000000000002
临汾,山西省,1,1.0829999999999997
吕梁,山西省,1,1.0486
朔州,山西省,1,1.5826000000000002
忻州,山西省,1,1.7178999999999998
阳泉,山西省,1,1.3450999999999995
运城,山西省,1,1.2759
西安,陕西省,1,2.4623000000000004
安康,陕西省,1,-0.6676000000000002
宝鸡,陕西省,1,1.2463999999999995
汉中,陕西省,1,0.3153000000000006
商洛,陕西省,1,0.40470000000000006
铜川,陕西省,1,0.9864999999999995
渭南,陕西省,1,0.1374999999999993
咸阳,陕西省,1,0.7030999999999996
延安,陕西省,1,1.5619999999999994
榆林,陕西省,1,0.8311000000000002
成都,四川省,1,2.5629
阿坝州,,1,0.9697
巴中,四川省,1,-2.8489000000000004
达州,四川省,1,-1.5556
德阳,四川省,1,0.9824999999999999
甘孜州,,1,0.7910000000000004
广安,四川省,1,-0.6811999999999996
广元,四川省,1,-0.9660000000000002
乐山,四川省,1,0.05650000000000066
凉山州,,1,0.3226
泸州,四川省,1,-0.4165000000000001
南充,四川省,1,-0.8378999999999994
眉山,四川省,1,0.23669999999999947
绵阳,四川省,1,0.8285
内江,四川省,1,-0.4748999999999999
攀枝花,四川省,1,0.8473000000000002
遂宁,四川省,1,-0.6420000000000003
雅安,四川省,1,0.6088
宜宾,四川省,1,-0.47970000000000024
资阳,四川省,1,-0.8577000000000004
自贡,四川省,1,-0.03669999999999973
拉萨,西藏自治区,1,0.5158
阿里,,1,0.3589
昌都,西藏自治区,1,0.663
林芝,西藏自治区,1,0.5602999999999998
那曲,,1,0.7075999999999998
日喀则,西藏自治区,1,0.2259000000000002
山南,西藏自治区,1,0.3917999999999999
乌鲁木齐,新疆维吾尔自治区,1,1.5641000000000003
阿拉尔,,1,0.6744000000000003
阿克苏,,1,0.7113999999999998
阿勒泰,,1,0.44910000000000005
巴音郭楞蒙古自治州,新疆维吾尔自治区,1,0.6718999999999999
博尔塔拉州,,1,0.31569999999999965
昌吉州,,1,0.3008000000000002
哈密,新疆维吾尔自治区,1,0.5215999999999998
和田,,1,0.21479999999999988
喀什,,1,0.31479999999999997
克拉玛依,新疆维吾尔自治区,1,0.8502999999999998
克孜勒苏州,,1,0.17989999999999995
石河子,,1,0.8022999999999998
塔城,,1,0.25329999999999986
图木舒克,,1,0.1564000000000001
吐鲁番,新疆维吾尔自治区,1,0.5435000000000003
五家渠,,1,0.4683999999999999
伊犁州,,1,0.34350000000000014
北屯,,1,0.8130000000000002
铁门关,,1,1.6192
双河,,1,0.9059000000000001
可克达拉,,1,-0.02629999999999999
昆玉,,1,0.05810000000000004
昆明,云南省,1,2.4007999999999994
保山,云南省,1,0.4419000000000004
楚雄州,,1,0.766
大理州,,1,0.3725999999999998
德宏州,,1,1.112
迪庆州,,1,1.3847999999999998
红河州,,1,1.1904999999999997
丽江,云南省,1,0.8557999999999999
临沧,云南省,1,0.7050000000000001
怒江州,,1,1.1432000000000002
普洱,云南省,1,1.0997
曲靖,云南省,1,1.2284999999999995
昭通,云南省,1,-0.009299999999999642
文山,,1,2.4250000000000003
西双版纳傣族自治州,云南省,1,0.6418999999999997
玉溪,云南省,1,1.1328999999999998
杭州,浙江省,1,3.2252
湖州,浙江省,1,1.8544000000000005
嘉兴,浙江省,1,2.6129000000000002
金华,浙江省,1,0.9417
丽水,浙江省,1,1.8331
宁波,浙江省,1,2.7502000000000004
