locked_on_date,bd_feb15avgdif_holi,bd_feb15avgdif_date,bd_feb29avgdif_holi,bd_feb29avgdif_date,popHR18_all,prov,ctnm,case_on_date,gdp2018,case_per_10k,second_ind,third_ind,age_feb20,tenure,prov_leader_rank,num_hospital_total,num_doctors_total,num_firm_total,pct_of_non_domestic_firm,secondary_emp_share_total,tertiary_emp_share_total,is_STEM_major,is_BA,is_MA,is_PhD,is_female,rule_in_native_prov,party_age,work_age
1,5.2298304347826114,5.498099999999999,2.196202702702704,2.3629648648648653,217.0,安徽省,淮北市,26.0,6229180.0,0.11981566820276497,58.86,37.7,54,3,36.14,69.0,4524.0,738.0,2.4390243902439024,63.08,36.92,0.0,0,1,0,0,1,33.0,36.0
0,4.47567391304348,4.6398869565217415,1.5804081081081094,1.6824864864864877,319.0,福建省,南平市,20.0,5263855.0,0.06269592476489028,48.34,38.53,55,3,35.3,51.0,5382.0,1089.0,4.040404040404041,37.19,60.05,1.0,0,0,1,0,0,35.0,33.0
0,4.649556521739127,4.548473913043479,1.2593324324324304,1.1964972972972974,232.0,辽宁省,营口市,1.0,8078204.0,0.004310344827586207,42.0,55.25,59,3,60.3,126.0,5952.0,576.0,16.319444444444443,34.53,65.11,1.0,1,0,0,0,1,37.0,36.0
1,6.4537260869565225,6.642369565217392,3.2769594594594595,3.394224324324324,122.0,江西省,新余市,127.0,7565744.0,1.040983606557377,52.82,42.54,52,3,32.02,14.0,4201.0,369.0,4.607046070460704,62.05,37.69,0.0,0,1,0,0,0,31.0,30.0
1,4.729013043478262,5.244869565217392,1.6348054054054069,1.9554729729729745,536.0,江西省,吉安市,20.0,2531933.0,0.03731343283582089,44.99,48.27,56,3,32.02,57.0,8028.0,1222.0,7.201309328968903,48.85,49.14,1.0,0,1,0,0,0,36.0,30.0
0,5.429539130434784,5.496273913043479,2.456524324324324,2.498008108108108,737.0,河南省,洛阳市,31.0,16555755.0,0.04206241519674356,37.74,61.18,56,3,55.64,142.0,17586.0,1975.0,2.3797468354430378,48.72,51.15,1.0,0,0,1,0,1,36.0,39.0
0,3.6597739130434777,4.051691304347827,0.5038864864864854,0.7475108108108106,239.0,云南省,临沧市,1.0,1065841.0,0.0041841004184100415,34.02,50.89,55,3,30.69,53.0,3315.0,173.0,1.1560693641618496,28.84,64.46,0.0,0,1,0,0,1,34.0,33.0
0,3.260086956521739,2.921904347826088,1.2769270270270272,1.0667054054054066,54.0,西藏自治区,拉萨市,1.0,2878800.0,0.018518518518518517,33.09,65.28,53,3,35.26,28.0,2552.0,76.0,3.947368421052632,16.62,50.88,0.0,0,1,0,0,1,28.0,32.0
0,4.038391304347829,4.211613043478259,1.2390432432432452,1.34672162162162,154.0,四川省,雅安市,7.0,2398237.0,0.045454545454545456,37.58,47.5,58,2,66.1,44.0,3941.0,314.0,2.5477707006369434,29.84,69.51,0.0,0,1,0,0,1,35.0,39.0
0,5.569391304347825,5.957617391304347,2.4526324324324325,2.6939621621621637,381.0,安徽省,蚌埠市,153.0,8445969.0,0.4015748031496063,49.47,47.49,58,2,36.14,81.0,6297.0,1115.0,3.5874439461883414,42.51,57.34,1.0,1,0,0,0,1,34.0,37.0
0,4.756208695652174,4.833313043478261,1.6621918918918919,1.7101216216216226,229.0,安徽省,马鞍山市,35.0,10425427.0,0.15283842794759825,53.91,44.88,55,2,36.14,62.0,4756.0,1054.0,5.597722960151803,52.49,47.19,0.0,1,0,0,0,1,28.0,34.0
0,5.6618782608695675,5.91795652173913,2.4164351351351363,2.57561891891892,559.0,河南省,开封市,25.0,6887402.0,0.044722719141323794,34.99,55.18,53,2,55.64,105.0,11280.0,1347.0,2.3756495916852263,54.17,45.7,0.0,0,1,0,1,1,32.0,29.0
0,5.639639130434783,5.8742130434782585,2.438097297297297,2.5839135135135125,567.0,河南省,平顶山市,58.0,5649429.0,0.10229276895943562,51.9,47.07,57,2,55.64,87.0,11355.0,885.0,2.485875706214689,54.64,45.28,0.0,0,1,0,0,1,29.0,36.0
0,4.745656521739129,4.858130434782608,1.7090945945945943,1.779010810810811,96.0,海南省,儋州市,15.0,3229700.0,0.15625,13.1,48.6,53,2,32.74,22.0,1680.0,18.0,16.666666666666664,11.730382,44.507042,0.0,0,0,1,0,0,33.0,29.0
0,4.083482608695654,4.463295652173915,1.0307972972972983,1.2668972972972992,342.0,贵州省,六盘水市,10.0,4673400.0,0.029239766081871343,46.61,52.04,55,2,35.3,111.0,5106.0,452.0,1.106194690265487,46.0,53.73,0.0,0,1,0,0,1,36.0,36.0
0,5.609765217391304,5.549365217391306,2.6890783783783783,2.6515324324324325,221.0,山西省,晋城市,8.0,2681085.0,0.03619909502262444,30.34,69.4,55,2,31.47,83.0,5730.0,259.0,5.791505791505792,61.67,37.95,1.0,0,0,1,0,0,22.0,37.0
1,5.617578260869565,4.805695652173912,2.2651729729729726,1.7604891891891885,597.0,浙江省,宁波市,154.0,62826874.0,0.25795644891122277,49.53,48.97,58,2,66.3,154.0,24268.0,7500.0,19.573333333333334,61.02,38.96,0.0,0,1,0,0,0,34.0,37.0
1,5.6076826086956535,6.316856521739132,2.4254891891891908,2.8663270270270282,961.0,河南省,驻马店市,138.0,3668609.0,0.14360041623309053,46.95,45.74,54,2,55.64,79.0,12896.0,1715.0,1.6909620991253644,44.74,54.39,0.0,0,1,0,0,1,34.0,30.0
0,4.629686956521741,4.145099999999999,1.52171891891892,1.220489189189189,97.0,浙江省,舟山市,10.0,9165154.0,0.10309278350515463,34.21,58.13,56,2,66.3,30.0,3581.0,351.0,6.552706552706553,33.2,66.76,0.0,1,0,0,0,1,33.0,38.0
