"兰州市",1̂ 311211011,351,193,334,185,8,2,9,6
"嘉峪关市",11&711211311,48,,48,,,,,
"金昌市",1111011&11̂;,94,40,94,40,,,,
"白银市",8 &1̂ 111,137,69,131,64,3,2,3,3
"天水市",113118111X1,170,100,168,98,,,2,2
"武威市",,219,127,215,125,2,1,2,1
"张掖市",211&11̂ X6,224,78,220,76,4,2,,
"平凉市",?111211&11̂,66,7,66,7,,,,
"酒泉市",1111(111&11,192,44,179,43,5,1,8,
"庆阳市",伽 取(10)8,107,26,106,26,,,1,
"定西市",01112X1,153,53,152,53,,,1,
"陇南市",,81,14,81,14,,,,
"青海省",,,,,,,,,
"西宁市",,270,173,257,163,5,3,8,7
"海东市",1̂ 31(10112,86,42,84,41,1,,1,1
"宁夏回族自治区",1̂118X13,,,,,,,,
"银川市",&11,463,137,439,121,12,6,12,10
"石嘴山市",81112111811311,217,131,209,127,2,1,6,3
"吴忠市",,357,131,353,129,1,1,3,1
"固原市",011^11311,50,26,50,26,,,,
"中卫市",2110112^61,133,80,129,80,3,,1,
"新疆维吾尔自治区",\11131311̂,,,,,,,,
"乌鲁木齐市",11111111(11,360,352,344,336,5,5,11,11
"克拉玛依市",〖 (10) 服 7,87,87,85,85,1,1,1,1
"吐鲁番市",丁11印311,135,42,133,40,1,1,1,1
"哈密市",只31X1!,198,149,193,144,3,3,2,2
