name,nativeplace,partytime,education,firstjobtime,edu,nativeprov,STEM_major?
刘有明,广西省桂林市全州县,1989-07-01 00:00:00.000000000,博士研究生,1987-07-01 00:00:00.000000000,22,广西,False
李荣灿,浙江省绍兴市,1989-08-01 00:00:00.000000000,硕士研究生,1989-08-01 00:00:00.000000000,19,浙江,False
贠建民,甘肃省天水市秦安县,1988-12-01 00:00:00.000000000,硕士研究生,1988-07-01 00:00:00.000000000,19,甘肃,True
王乃学,山东省蓬莱市,1986-03-01 00:00:00.000000000,博士研究生,1984-08-01 00:00:00.000000000,22,山东,False
李宏庆,广西壮族自治区玉林市博白县,1985-07-01 00:00:00.000000000,硕士研究生,1985-07-01 00:00:00.000000000,19,广西,False
周建琨,河南省平顶山市叶县,1985-12-01 00:00:00.000000000,硕士研究生,1982-08-01 00:00:00.000000000,19,河南,False
邢国辉,河北省石家庄市正定县,1984-09-01 00:00:00.000000000,硕士研究生,1976-12-01 00:00:00.000000000,19,河北,False
杨慧,河北省张家口市康保县,1985-01-01 00:00:00.000000000,博士研究生,1989-03-01 00:00:00.000000000,22,河北,True
张吉福,天津市,1985-03-01 00:00:00.000000000,博士研究生,1989-09-01 00:00:00.000000000,22,天津,True
李正印,山西省长治市武乡县,1984-06-01 00:00:00.000000000,硕士研究生,1982-08-01 00:00:00.000000000,19,山西,False
张院忠,内蒙古自治区包头市,1983-06-01 00:00:00.000000000,本科,1983-07-01 00:00:00.000000000,16,内蒙古,False
曲敏,黑龙江省哈尔滨市尚志市,1992-11-01 00:00:00.000000000,硕士研究生,1986-08-01 00:00:00.000000000,19,黑龙江,False
史翔,安徽省宣城市广德县,1989-08-01 00:00:00.000000000,硕士研究生,1982-07-01 00:00:00.000000000,19,安徽,False
张文深,河南省许昌市,1984-05-01 00:00:00.000000000,硕士研究生,1982-08-01 00:00:00.000000000,19,河南,True
虢正贵,湖南省长沙市,1984-06-01 00:00:00.000000000,本科,1984-07-01 00:00:00.000000000,16,湖南,False
瞿海,湖南省怀化市沅陵县,1986-01-01 00:00:00.000000000,硕士研究生,1984-07-01 00:00:00.000000000,19,湖南,False
史万钧,内蒙古自治区赤峰市,1985-01-01 00:00:00.000000000,硕士研究生,1983-08-01 00:00:00.000000000,19,内蒙古,False
牛俊雁,山西省大同市,1991-07-01 00:00:00.000000000,硕士研究生,1979-12-01 00:00:00.000000000,19,山西,False
张恩亮,黑龙江省绥化市望奎县,1998-11-01 00:00:00.000000000,硕士研究生,1990-08-01 00:00:00.000000000,19,黑龙江,False
张维国,湖北省黄冈市黄梅县,1986-10-01 00:00:00.000000000,硕士研究生,1983-07-01 00:00:00.000000000,19,湖北,False
王菲,四川省巴中市,1985-12-01 00:00:00.000000000,博士研究生,1986-07-01 00:00:00.000000000,22,四川,False
彭琳,重庆市,1986-02-01 00:00:00.000000000,博士研究生,1984-07-01 00:00:00.000000000,22,重庆,True
包惠,云南省曲靖市宣威市,1983-06-01 00:00:00.000000000,博士研究生,1984-07-01 00:00:00.000000000,22,云南,True
孙珅,黑龙江省绥化市肇东市,1993-11-01 00:00:00.000000000,博士研究生,1984-07-01 00:00:00.000000000,22,黑龙江,True
鲁毅,湖北省武汉市,1986-08-01 00:00:00.000000000,博士研究生,1982-08-01 00:00:00.000000000,22,湖北,False
赵德光,云南省昆明市石林彝族自治县,1985-09-23 07:54:08.780487808,云南省委党校研究生学历,1982-08-01 00:00:00.000000000,19,云南,False
李小豹,湖南省郴州市永兴县,1995-01-01 00:00:00.000000000,博士研究生,1988-07-01 00:00:00.000000000,22,湖南,False
魏晓明,山西省长治市武乡县,1999-01-01 00:00:00.000000000,本科,1987-07-01 00:00:00.000000000,16,山西,True
汪一光,安徽省安庆市桐城市,1988-04-01 00:00:00.000000000,硕士研究生,1984-07-01 00:00:00.000000000,19,安徽,True
毛腾飞,湖南省邵阳市武冈市,1991-11-01 00:00:00.000000000,博士研究生,1983-07-01 00:00:00.000000000,22,湖南,True
曹炯芳,湖南省常德市澧县,1992-05-01 00:00:00.000000000,1981.09湘潭大学马克思主义哲学专业学习1985.09,1988-07-01 00:00:00.000000000,19,湖南,False
龚文密,湖北省荆州市监利县,1986-10-01 00:00:00.000000000,硕士研究生,1987-07-01 00:00:00.000000000,19,湖北,False
马承祖,江西省景德镇市浮梁县,1983-11-01 00:00:00.000000000,硕士研究生,1982-08-01 00:00:00.000000000,19,江西,False
李公乐,河南省濮阳市,1983-12-01 00:00:00.000000000,本科,1982-08-01 00:00:00.000000000,16,河南,True
王小平,河北省石家庄市正定县,1984-07-01 00:00:00.000000000,硕士研究生,1984-07-01 00:00:00.000000000,19,河北,False
农生文,广西壮族自治区崇左市天等县,1995-03-01 00:00:00.000000000,硕士研究生,1990-09-01 00:00:00.000000000,19,广西,True
乔新江,河南省许昌市长葛市,1990-11-01 00:00:00.000000000,硕士研究生,1984-07-01 00:00:00.000000000,19,河南,False
林应武,广东省汕头市,1985-05-01 00:00:00.000000000,硕士研究生,1981-07-01 00:00:00.000000000,19,广东,False
张延清,甘肃省武威市天祝藏族自治县,1990-01-01 00:00:00.000000000,中央党校研究生学历,1981-01-01 00:00:00.000000000,19,甘肃,False
马升昌,山东省济宁市梁山县,1987-06-01 00:00:00.000000000,"在职研究生学历, 1979.09—1983.08山东师",1983-08-01 00:00:00.000000000,19,山东,False
冯韶慧,河北省保定市曲阳县,1984-12-01 00:00:00.000000000,硕士研究生,1985-07-01 00:00:00.000000000,19,河北,False
刘中伯,四川省南充市仪陇县,1983-01-01 00:00:00.000000000,在职研究生学历,1995-09-01 00:00:00.000000000,19,四川,False
宋朝华,四川省成都市邛崃市,1983-05-01 00:00:00.000000000,本科,1983-07-01 00:00:00.000000000,16,四川,False
马波,重庆市,1986-05-01 00:00:00.000000000,硕士研究生,1982-08-01 00:00:00.000000000,19,重庆,False
刘南昌,河南省濮阳市隆回县,1985-04-01 00:00:00.000000000,博士研究生,1987-07-01 00:00:00.000000000,22,河南,False
王战营,河南省许昌市禹州市,1984-12-01 00:00:00.000000000,硕士研究生,1993-01-01 00:00:00.000000000,19,河南,True
陈昌旭,贵州省遵义市绥阳县,1990-10-01 00:00:00.000000000,硕士研究生,1988-12-01 00:00:00.000000000,19,贵州,False
黄晓武,安徽省安庆市怀宁县,1986-06-01 00:00:00.000000000,硕士研究生,1983-07-01 00:00:00.000000000,19,安徽,False
袁毅,甘肃省白银市会宁县,1984-06-01 00:00:00.000000000,"在职研究生学历, 农学博士",1986-07-01 00:00:00.000000000,22,甘肃,True
赵长富,辽宁,1982-07-01 00:00:00.000000000,"大学学历, 工学学士学位",1983-08-01 00:00:00.000000000,16,辽宁,True
蒋斌,安徽省马鞍山市含山县,1988-06-01 00:00:00.000000000,硕士研究生,1989-03-26 03:38:10.909090944,19,安徽,False
胡世忠,江苏省常州市武进区,1983-06-01 00:00:00.000000000,硕士研究生,1989-05-01 00:00:00.000000000,19,江苏,True
李亚,河南省商丘市永城市,1983-10-01 00:00:00.000000000,博士研究生,1980-12-01 00:00:00.000000000,22,河南,True
杨浩东,云南省大理白族自治州大理市,1985-05-01 00:00:00.000000000,硕士研究生,1986-07-01 00:00:00.000000000,19,云南,False
白玛旺堆,西藏自治区昌都市芒康县,1991-10-01 00:00:00.000000000,硕士研究生,1987-07-01 00:00:00.000000000,19,西藏,False
周霁,湖北省襄阳市,1988-11-01 00:00:00.000000000,硕士研究生,1984-07-01 00:00:00.000000000,19,湖北,True
